CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1318605,"Tesla, Inc.",10-K,2018-02-23,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-002956.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-002956-index.html,2018-02-23,2017-12-31,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018002956/tsla-10k_20171231.htm,DE,CA,1231,1318605_10K_2017_0001564590-18-002956.htm
1318605,"Tesla, Inc.",8-K,2018-01-03,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-000054.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-000054-index.html,2018-01-03,2018-01-03,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018000054/tsla-8k_20180103.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-000054.htm
1318605,"Tesla, Inc.",8-K,2018-01-23,https://www.sec.gov/Archives/edgar/data/1318605/0001193125-18-016648.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001193125-18-016648-index.html,2018-01-23,2018-01-23,3711,https://www.sec.gov/Archives/edgar/data/1318605/000119312518016648/d500497d8k.htm,DE,CA,1231,1318605_8K_2018_0001193125-18-016648.htm
1318605,"Tesla, Inc.",8-K,2018-02-07,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-001521.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-001521-index.html,2018-02-07,2018-02-07,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001521/tsla-8k_20180207.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-001521.htm
1318605,"Tesla, Inc.",8-K,2018-02-08,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-001693.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-001693-index.html,2018-02-08,2018-02-02,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001693/tsla-8k_20180202.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-001693.htm
1318605,"Tesla, Inc.",8-K,2018-02-09,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-001786.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-001786-index.html,2018-02-09,2018-02-09,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001786/tsla-8k_20180209.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-001786.htm
1318605,"Tesla, Inc.",8-K,2018-03-08,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-004979.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-004979-index.html,2018-03-08,2018-03-07,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018004979/tsla-8k_20180307.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-004979.htm
1318605,"Tesla, Inc.",8-K,2018-03-21,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-006479.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-006479-index.html,2018-03-21,2018-03-21,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018006479/tsla-8k_20180321.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-006479.htm
1318605,"Tesla, Inc.",10-Q,2018-05-07,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-011086.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-011086-index.html,2018-05-07,2018-03-31,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018011086/tsla-10q_20180331.htm,DE,CA,1231,1318605_10Q_2018_0001564590-18-011086.htm
1318605,"Tesla, Inc.",8-K,2018-04-03,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-007463.txt,https://www.sec.gov/Archives/edgar/data/1318605/0001564590-18-007463-index.html,2018-04-03,2018-04-03,3711,https://www.sec.gov/Archives/edgar/data/1318605/000156459018007463/tsla-8k_20180403.htm,DE,CA,1231,1318605_8K_2018_0001564590-18-007463.htm
